id	filename	md5	size	state
4aad13c4-53ed-4766-b0da-e379f6ccb4b9	542d05d1-26fa-465a-af55-d30115bec91f.wxs.aliquot_ensemble_masked.maf.gz	a432095a401a975e76b4543ac39e0d26	53154	released
1e171ca7-9c44-4dc9-8908-b35b40e3464e	ddc3ae9b-44d5-470f-aa2f-7e1768e0c20a.wxs.aliquot_ensemble_masked.maf.gz	332a47ce88b2b806f07298caaa1284d5	11130	released
47943a9f-3258-49e1-bbe2-dd8fe2c17b2d	247c6417-5bbb-4fe4-bcad-c51162d0fbc6.wxs.aliquot_ensemble_masked.maf.gz	dea3d619ee773865acfa7bcb2b1eabcd	10683	released
d0babf0b-175a-40b9-b1ca-014c1c227870	b79825ab-1f35-4773-987c-7ed95d8509f2.wxs.aliquot_ensemble_masked.maf.gz	ac3d695449881e746fc3806ac3c087a9	6088	released
dba356ac-c2e2-49b5-bc18-ebe29459f0fb	a4a6c24e-3b83-4808-a9fd-3963d37a66dd.wxs.aliquot_ensemble_masked.maf.gz	b38a772e035f7cb2a943f2140eba85a3	10207	released
f7382f1f-357c-4783-b1d3-36f53dccbe0a	751ce61a-dcad-47d8-9c89-4c5363ea24b3.wxs.aliquot_ensemble_masked.maf.gz	f3c7c60a7b5e4b7e184efd3d03c0136f	19177	released
4cf5068f-a83d-46bc-bb36-6e5b227b067e	649bb089-6145-4eec-a894-44890759b092.wxs.aliquot_ensemble_masked.maf.gz	43320bcd03ac5de03dcb40e73419097b	17128	released
6f896a4a-01ea-447e-9536-d7753bf3388b	34d08a8d-984b-4210-a960-349f26314c1e.wxs.aliquot_ensemble_masked.maf.gz	2231367c1b771b8e022fd1beaa9407cb	20904	released
327b735b-f8d1-4142-b8bc-2ea446df4f51	ab4f9b48-641c-4ba9-a7b2-06e8279d30ee.wxs.aliquot_ensemble_masked.maf.gz	5eb91b7a75d11fdd4d7e217f431cf235	30237	released
f1300b41-2226-47a7-ad0a-08aae77d7c3a	08daea4d-227d-4902-ae92-d0101ba61fde.wxs.aliquot_ensemble_masked.maf.gz	163aaa8fde456551a0b1e8d3cb72a998	50286	released
f84f8bdf-85e3-44d6-9e94-ef4ae245e6e4	0cf18cbf-f63c-4582-98e4-ce29be2818a9.wxs.aliquot_ensemble_masked.maf.gz	b83240b525ab92ebb35c4c96af5fffa5	53744	released
abab6ae1-7796-4f7d-b7ed-cc6c352471d0	6c7dedbe-41c3-4135-b003-867ef6a56d84.wxs.aliquot_ensemble_masked.maf.gz	00979a2a6d664e6a1c1e341f8bb8b575	17545	released
e9b1949d-716f-4b28-96b2-8d69015d1aec	4590b75a-2ec9-4fdb-92b5-9446fde9a26a.wxs.aliquot_ensemble_masked.maf.gz	8759134c0d56a3820b7e6e572102aa39	9832	released
4c7905e2-6817-424c-ac08-844be9a68686	e6b6dcef-7c2d-412c-a1c3-82e53e650826.wxs.aliquot_ensemble_masked.maf.gz	aded33b9349d4d92d9ccc5e8f0f31a9c	8554	released
0971b8e1-a727-462b-9fb7-b92f84a28a12	e732d758-bf11-4d4f-a8d3-5427f2e9b113.wxs.aliquot_ensemble_masked.maf.gz	fe00125ec2451b7fd9018b992241b259	16472	released
868b1611-6681-4cde-9674-29ff5d1e4b83	8d3cfd95-2044-45f2-bfd4-7981ca6d7e38.wxs.aliquot_ensemble_masked.maf.gz	1660ef5d25cdd897a535cc1f44931a41	9387	released
342146cf-8b26-4bcd-a51a-558a8e32085a	779e54c7-fa85-4e84-a792-d380f12f45ce.wxs.aliquot_ensemble_masked.maf.gz	b8d3fd4f77ddf3781d871927df8b153d	13318	released
614120d1-4006-4ab4-bcde-d1319a1076d4	5dfcc181-a553-4ed7-8dbf-1ca79543c88b.wxs.aliquot_ensemble_masked.maf.gz	afcf57ba1454c0e8e2967dd6bcf14af6	11236	released
152927d4-038b-489a-8e66-060322b56272	0a0243b2-9148-4c68-b533-099ed1fb6ee0.wxs.aliquot_ensemble_masked.maf.gz	e19db06fb7e43f3a51110501a0867e73	31465	released
13a5989f-c0f9-4db3-90c0-8e0e3d841882	06ecba91-0957-4567-9edb-a2db06ae755c.wxs.aliquot_ensemble_masked.maf.gz	a83be7665d3d4ecc57c07e1cabf2bc90	9557	released
64998865-92e4-470e-bbd8-ca8826846ce2	174701dd-d386-4693-a5b8-e07f40b9202c.wxs.aliquot_ensemble_masked.maf.gz	1dbf2df855dff5eb70b02b13460b03d3	10837	released
ba4e57dc-c15b-4282-90dd-e9ace6fb9d2b	fc2a9d28-f6bd-4b6b-bcc2-05c1eaf56dca.wxs.aliquot_ensemble_masked.maf.gz	07767c5dd4afd12de73f2be91dfece78	15180	released
07985196-fb21-4ff0-8142-d64903bb2aa0	88db28ac-7c60-41cb-9a4e-952abb7f2cbc.wxs.aliquot_ensemble_masked.maf.gz	de2cf40e06053f246b409f82f5422bd4	17729	released
210e7086-8eee-4432-9c27-fb0470ba4237	34b1c3b0-f973-46e1-bae8-dfa14c513b07.wxs.aliquot_ensemble_masked.maf.gz	a9ad5d993ef3b6590d41aa8091ffe083	136451	released
fcf11f26-a91b-42f0-acf8-067256a48f9c	190d78c9-00d4-489c-b8e1-9632cd8a0043.wxs.aliquot_ensemble_masked.maf.gz	915e799cf221e6a16d8784905d5c32e0	12378	released
4168cb61-10b1-4717-95f2-8102844fc688	46f71860-6e69-4ebd-8ff8-f43a28938f7a.wxs.aliquot_ensemble_masked.maf.gz	d9255aecb041905202fc06c60455c1ee	13392	released
ba114d36-576f-429d-b6c1-e19349e74d2c	999f0a32-30c2-466d-b3e4-6c0983ab248c.wxs.aliquot_ensemble_masked.maf.gz	e9cf2d8ff239121341fe6fb16d5d3da9	11720	released
f37a993c-67b5-4739-a86b-3690347c4534	dd291083-96b9-4dd6-a01b-ac957af07bf5.wxs.aliquot_ensemble_masked.maf.gz	63a74b70f70871347c71e4f6c5028b71	9347	released
80d0f412-a793-4fd1-b0d2-511600015ebe	9b1c09cc-b5d5-4dff-b42e-a0c1848744d7.wxs.aliquot_ensemble_masked.maf.gz	4d2a691de26a752b78ab9a83643dc4e3	17283	released
7db9ba90-2a17-4bd4-b5eb-6f863b1f198b	bff703ba-0e1a-4a5b-ac61-d5dd7d4dbbf5.wxs.aliquot_ensemble_masked.maf.gz	a941fe3ab5798d79fb2e0d1e81b325b9	13854	released
96fe0824-d80f-4e3a-826f-ea68bfc26b70	24c2e723-5d7b-448a-84a5-c1fafe71cd40.wxs.aliquot_ensemble_masked.maf.gz	00c7fe5a4af3a0414e8640620a0235db	23165	released
63057d8c-4cb5-46fb-92a1-1ea844947225	0921da06-00d8-4451-9f5f-7472261080ff.wxs.aliquot_ensemble_masked.maf.gz	8991642938c2f14793a2235735407d85	14781	released
d929baa2-5418-4da8-9a03-c29cbc8fd454	ebaa90e0-0a86-4b08-800e-06b53f2b8c09.wxs.aliquot_ensemble_masked.maf.gz	fc49f73d6cd964d30a0aaa33e4489f7a	12898	released
1c4fbe94-ae98-476d-a591-bb3b46deb763	082985ce-a7a6-4121-9334-7bb89e0677c3.wxs.aliquot_ensemble_masked.maf.gz	76e807ba9d3d9a8e4df0ddca5cb26d51	11738	released
597ada85-74c5-42cb-9e6e-5583b80aa16e	e200ee68-da34-487c-9b65-c780d5a0aebc.wxs.aliquot_ensemble_masked.maf.gz	81d07d4ec2cc234110341a913d03a833	16923	released
76191383-e939-4122-9134-9a42435e4aa3	4759bf68-5215-4cce-8989-5de4b2e942b2.wxs.aliquot_ensemble_masked.maf.gz	2103da2aa5386b767e70a4bb3f2c59b6	41911	released
11f23628-c86e-414f-9fde-bdc881ec374b	ea22138e-2c9c-4648-8a84-2abaf96295fc.wxs.aliquot_ensemble_masked.maf.gz	ad7a0354991733bc5791a199d0e3ff8c	13197	released
9fc6de67-868f-448c-ae04-81f53a0db1ef	04d29742-3423-4764-b30e-6da9f400d02c.wxs.aliquot_ensemble_masked.maf.gz	4e438587584b8b822807144ae2656323	32967	released
9fb43318-69c7-487e-804a-5659bea9dce0	f442c0a6-9d6a-43e2-aee4-b0bce716912f.wxs.aliquot_ensemble_masked.maf.gz	8b4ee02892a4d3d948e5c63afd614fee	14348	released
9c58f301-ed6d-42c1-8369-5aac528a80cd	00d695a7-1770-4619-9297-273d994fa891.wxs.aliquot_ensemble_masked.maf.gz	7270373c33440f1739d93c88ba35c3c8	29219	released
a0b63ce2-8273-4abb-93f5-3f6c2aafd78a	8ba4ef5c-84fb-48b8-9231-64bcc8d7240f.wxs.aliquot_ensemble_masked.maf.gz	3b782c9c391558dbab316a3994b4ea36	51375	released
5d5e2940-5578-4f66-8023-73014f45a725	93476d18-cd60-477c-9c19-73847870f711.wxs.aliquot_ensemble_masked.maf.gz	57d81780e1eebe26ac23ca8e1b4bd97a	199181	released
6393930d-ce00-41a3-92e2-8fa0816a1eb2	e74225bc-0d11-43c2-9ac2-c701943ba4fe.wxs.aliquot_ensemble_masked.maf.gz	506b201654d48dbcefaa4dc9130dee5d	193045	released
24587f91-94a3-403b-a650-b9ef5d9f11b3	a1b18f14-9490-4db8-a446-32e13b838015.wxs.aliquot_ensemble_masked.maf.gz	78baab88d452c1694ceeb75ce83acf37	160838	released
bcbe28f6-f4e2-4265-b5ad-7f09815d79b4	393ee2ac-565a-436b-a190-5a3f7d3ed1de.wxs.aliquot_ensemble_masked.maf.gz	6033f793f40a40d70bead8b87846406f	22229	released
